Exchange,Pair,Ticker,Underlying,Classification,LaunchDate,maximum_leverage,24h Volume (USDT),join_key
OKX,BTC-USD-SWAP,USD,,,2018-08-28,100,,okx|BTCUSD
OKX,ETH-USD-SWAP,USD,,,2018-12-21,100,,okx|ETHUSD
OKX,SOL-USD-SWAP,USD,,,2021-11-25,50,,okx|SOLUSD
OKX,DOGE-USD-SWAP,USD,,,2021-02-02,50,,okx|DOGEUSD
OKX,HYPE-USD-SWAP,USD,,,2026-07-06,20,,okx|HYPEUSD
OKX,XRP-USD-SWAP,USD,,,2018-12-21,50,,okx|XRPUSD
OKX,SUI-USD-SWAP,USD,,,2024-10-18,20,,okx|SUIUSD
OKX,BCH-USD-SWAP,USD,,,2018-12-21,20,,okx|BCHUSD
OKX,ADA-USD-SWAP,USD,,,2020-02-28,20,,okx|ADAUSD
OKX,DOT-USD-SWAP,USD,,,2020-09-02,20,,okx|DOTUSD
OKX,ETC-USD-SWAP,USD,,,2018-12-21,20,,okx|ETCUSD
OKX,FIL-USD-SWAP,USD,,,2020-12-10,50,,okx|FILUSD
OKX,LINK-USD-SWAP,USD,,,2020-02-28,50,,okx|LINKUSD
OKX,LTC-USD-SWAP,USD,,,2018-12-21,50,,okx|LTCUSD
OKX,UNI-USD-SWAP,USD,,,2020-09-17,20,,okx|UNIUSD
OKX,BTC-USDT-SWAP,BTC,,,2019-11-12,100,,okx|BTCUSDT
OKX,ETH-USDT-SWAP,ETH,,,2019-11-12,100,,okx|ETHUSDT
OKX,OKB-USDT-SWAP,OKB,,,2025-09-04,20,,okx|OKBUSDT
OKX,SOL-USDT-SWAP,SOL,,,2021-01-22,100,,okx|SOLUSDT
OKX,DOGE-USDT-SWAP,DOGE,,,2020-04-21,50,,okx|DOGEUSDT
OKX,HYPE-USDT-SWAP,HYPE,,,2025-02-21,50,,okx|HYPEUSDT
OKX,ZEC-USDT-SWAP,ZEC,,,2025-11-06,50,,okx|ZECUSDT
OKX,XRP-USDT-SWAP,XRP,,,2019-11-12,100,,okx|XRPUSDT
OKX,SUI-USDT-SWAP,SUI,,,2023-05-05,50,,okx|SUIUSDT
OKX,BCH-USDT-SWAP,BCH,,,2019-11-12,50,,okx|BCHUSDT
OKX,0G-USDT-SWAP,0G,,,2025-09-22,20,,okx|0GUSDT
OKX,1INCH-USDT-SWAP,1INCH,,,2020-12-25,20,,okx|1INCHUSDT
OKX,2Z-USDT-SWAP,2Z,,,2025-10-02,20,,okx|2ZUSDT
OKX,A-USDT-SWAP,A,,,2025-05-29,20,,okx|AUSDT
OKX,AAOI-USDT-SWAP,AAOI,,,2026-05-26,20,,okx|AAOIUSDT
OKX,AAPL-USDT-SWAP,AAPL,,,2026-03-04,20,,okx|AAPLUSDT
OKX,AAVE-USDT-SWAP,AAVE,,,2020-12-10,50,,okx|AAVEUSDT
OKX,ACH-USDT-SWAP,ACH,,,2024-02-22,20,,okx|ACHUSDT
OKX,ACT-USDT-SWAP,ACT,,,2024-11-14,10,,okx|ACTUSDT
OKX,ACU-USDT-SWAP,ACU,,,2026-01-23,10,,okx|ACUUSDT
OKX,ADA-USDT-SWAP,ADA,,,2020-02-28,50,,okx|ADAUSDT
OKX,ADBE-USDT-SWAP,ADBE,,,2026-06-03,20,,okx|ADBEUSDT
OKX,AEHR-USDT-SWAP,AEHR,,,2026-07-27,20,,okx|AEHRUSDT
OKX,AEON-USDT-SWAP,AEON,,,2026-07-27,20,,okx|AEONUSDT
OKX,AERO-USDT-SWAP,AERO,,,2025-07-03,20,,okx|AEROUSDT
OKX,AEVO-USDT-SWAP,AEVO,,,2024-03-13,10,,okx|AEVOUSDT
OKX,AGLD-USDT-SWAP,AGLD,,,2021-09-07,20,,okx|AGLDUSDT
OKX,AI-USDT-SWAP,AI,,,2026-04-29,10,,okx|AIUSDT
OKX,AIXBT-USDT-SWAP,AIXBT,,,2025-01-03,20,,okx|AIXBTUSDT
OKX,ALAB-USDT-SWAP,ALAB,,,2026-06-16,20,,okx|ALABUSDT
OKX,ALGO-USDT-SWAP,ALGO,,,2020-04-21,50,,okx|ALGOUSDT
OKX,ALLO-USDT-SWAP,ALLO,,,2025-11-11,20,,okx|ALLOUSDT
OKX,AMAT-USDT-SWAP,AMAT,,,2026-05-28,20,,okx|AMATUSDT
OKX,AMD-USDT-SWAP,AMD,,,2026-03-11,20,,okx|AMDUSDT
OKX,AMZN-USDT-SWAP,AMZN,,,2026-02-26,20,,okx|AMZNUSDT
OKX,ANIME-USDT-SWAP,ANIME,,,2025-01-23,20,,okx|ANIMEUSDT
OKX,ANTHROPIC-USDT-SWAP,ANTHROPIC,,,2026-05-07,20,,okx|ANTHROPICUSDT
OKX,APE-USDT-SWAP,APE,,,2022-03-17,20,,okx|APEUSDT
OKX,API3-USDT-SWAP,API3,,,2022-03-03,10,,okx|API3USDT
OKX,APLD-USDT-SWAP,APLD,,,2026-07-06,20,,okx|APLDUSDT
OKX,APP-USDT-SWAP,APP,,,2026-07-17,20,,okx|APPUSDT
OKX,APR-USDT-SWAP,APR,,,2025-10-24,20,,okx|APRUSDT
OKX,APT-USDT-SWAP,APT,,,2022-10-19,50,,okx|APTUSDT
OKX,AR-USDT-SWAP,AR,,,2023-02-14,20,,okx|ARUSDT
OKX,ARB-USDT-SWAP,ARB,,,2023-03-23,50,,okx|ARBUSDT
OKX,ARKM-USDT-SWAP,ARKM,,,2024-11-21,20,,okx|ARKMUSDT
OKX,ARM-USDT-SWAP,ARM,,,2026-04-29,20,,okx|ARMUSDT
OKX,ARX-USDT-SWAP,ARX,,,2026-06-22,20,,okx|ARXUSDT
OKX,ASML-USDT-SWAP,ASML,,,2026-06-03,20,,okx|ASMLUSDT
OKX,ASTER-USDT-SWAP,ASTER,,,2025-09-22,50,,okx|ASTERUSDT
OKX,ASTS-USDT-SWAP,ASTS,,,2026-06-02,20,,okx|ASTSUSDT
OKX,AT-USDT-SWAP,AT,,,2025-10-30,20,,okx|ATUSDT
OKX,ATH-USDT-SWAP,ATH,,,2024-06-13,20,,okx|ATHUSDT
OKX,ATOM-USDT-SWAP,ATOM,,,2019-11-12,50,,okx|ATOMUSDT
OKX,AUCTION-USDT-SWAP,AUCTION,,,2023-12-01,20,,okx|AUCTIONUSDT
OKX,AVAX-USDT-SWAP,AVAX,,,2020-09-23,50,,okx|AVAXUSDT
OKX,AVGO-USDT-SWAP,AVGO,,,2026-04-29,20,,okx|AVGOUSDT
OKX,AVNT-USDT-SWAP,AVNT,,,2025-09-22,50,,okx|AVNTUSDT
OKX,AXS-USDT-SWAP,AXS,,,2021-07-28,20,,okx|AXSUSDT
OKX,AXTI-USDT-SWAP,AXTI,,,2026-06-16,20,,okx|AXTIUSDT
OKX,AZTEC-USDT-SWAP,AZTEC,,,2026-02-11,20,,okx|AZTECUSDT
OKX,BABY-USDT-SWAP,BABY,,,2025-04-10,10,,okx|BABYUSDT
OKX,BAND-USDT-SWAP,BAND,,,2020-09-07,20,,okx|BANDUSDT
OKX,BARD-USDT-SWAP,BARD,,,2025-09-18,20,,okx|BARDUSDT
OKX,BASED-USDT-SWAP,BASED,,,2026-03-30,50,,okx|BASEDUSDT
OKX,BAT-USDT-SWAP,BAT,,,2020-08-28,20,,okx|BATUSDT
OKX,BB-USDT-SWAP,BB,,,2026-06-01,20,,okx|BBUSDT
OKX,BE-USDT-SWAP,BE,,,2026-05-27,20,,okx|BEUSDT
OKX,BEAT-USDT-SWAP,BEAT,,,2025-11-12,10,,okx|BEATUSDT
OKX,BERA-USDT-SWAP,BERA,,,2025-02-06,20,,okx|BERAUSDT
